Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
172.18.0.2,194.30.187.168,194.30.187.168,"(2, ['213.81.232.198'], 5)",[4.647333333333333],True,x,x
172.20.11.11,194.30.187.168,194.30.187.168,"(4, ['62.168.99.61'], 11)",[11.038333333333332],False,x,x
78.141.76.187,194.30.187.168,194.30.187.168,"(2, ['213.151.196.2'], 4)",[2.543],True,x,x
10.0.109.52,194.30.187.168,194.30.187.168,"(4, ['88.212.0.58'], 6)",[7.9656666666666665],True,x,x
82.119.102.146,194.30.187.168,194.30.187.168,"(5, ['217.23.241.62'], 6)",[11.065],False,x,x
192.168.100.2,194.30.187.168,194.30.187.168,"(4, ['213.151.198.94'], 6)",[10.004],True,x,x
45.95.11.135,194.30.187.168,194.30.187.168,"(5, ['185.176.72.114'], 7)",[1.7433333333333334],True,x,x
192.168.100.18,194.30.187.168,194.30.187.168,"(2, ['213.151.193.65'], 4)",[4.940333333333334],True,x,x
176.116.104.49,194.30.187.168,194.30.187.168,"(8, ['185.171.141.40'], 10)",[10.969666666666667],True,x,x
172.17.0.2,194.30.187.168,194.30.187.168,"(5, ['62.168.110.65'], 12)",[6.251666666666666],False,x,x
10.10.66.17,194.30.187.168,194.30.187.168,"(1, ['213.81.232.193'], 4)",[2.5883333333333334],True,x,x
192.108.131.3,194.30.187.168,194.30.187.168,"(2, ['62.168.110.65'], 9)",[5.149],False,x,x
192.168.2.5,194.30.187.168,194.30.187.168,"(5, ['88.212.0.58'], 7)",[8.716333333333333],True,x,x
192.168.0.67,194.30.187.168,194.30.187.168,"(-1, [], 5)",[1.7976666666666663],True,x,x
80.87.217.250,194.30.187.168,194.30.187.168,"(2, ['80.87.211.16'], 9)",[7.130333333333333],False,x,x
80.87.217.242,194.30.187.168,194.30.187.168,"(4, ['80.87.211.16'], 11)",[6.553333333333334],False,x,x
80.242.36.134,194.30.187.168,194.30.187.168,"(6, ['87.244.238.78'], 8)",[6.229666666666667],True,x,x
10.1.1.182,194.30.187.168,194.30.187.168,"(3, ['62.168.99.65'], 10)",[6.242333333333334],False,x,x
10.12.99.253,194.30.187.168,194.30.187.168,"(8, ['87.244.236.30'], 15)",[3.1166666666666667],False,x,x
31.170.64.141,194.30.187.168,194.30.187.168,"(3, ['87.244.238.78'], 5)",[4.7363333333333335],True,x,x
10.1.30.13,194.30.187.168,194.30.187.168,"(8, ['195.80.185.234'], 10)",[4.566666666666667],True,x,x
10.0.12.188,194.30.187.168,194.30.187.168,"(2, ['213.81.232.193'], 5)",[2.358333333333333],True,x,x
192.168.1.66,194.30.187.168,194.30.187.168,"(6, ['213.151.198.94'], 8)",[10.850333333333333],True,x,x
10.129.8.128,194.30.187.168,194.30.187.168,"(3, ['212.89.224.234'], 5)",[0.6356666666666667],True,x,x
172.30.19.220,194.30.187.168,194.30.187.168,"(6, ['84.47.111.149'], 9)",[3.7896666666666667],True,x,x
192.168.3.3,194.30.187.168,194.30.187.168,"(6, ['195.80.185.224'], 8)",[9.422],True,x,x
192.168.1.26,194.30.187.168,194.30.187.168,"(1, ['213.81.232.198'], 4)",[4.512666666666667],True,x,x
192.168.1.223,194.30.187.168,194.30.187.168,"(1, ['213.81.233.157'], 4)",[2.4433333333333334],True,x,x
192.168.100.51,194.30.187.168,194.30.187.168,"(4, ['213.151.198.94'], 6)",[10.693666666666667],True,x,x
192.168.3.254,194.30.187.168,194.30.187.168,"(4, ['62.168.99.65'], 11)",[6.187666666666666],False,x,x
172.22.16.160,194.30.187.168,194.30.187.168,"(11, ['87.244.236.30'], 18)",[6.609666666666667],False,x,x
192.168.0.15,194.30.187.168,194.30.187.168,"(3, ['85.159.105.209'], 6)",[3.3356666666666666],True,x,x
10.0.1.22,194.30.187.168,194.30.187.168,"(4, ['195.80.185.234'], 6)",[6.629333333333332],True,x,x
192.168.1.22,194.30.187.168,194.30.187.168,"(1, ['213.81.232.193'], 4)",[2.9926666666666666],True,x,x
192.168.0.153,194.30.187.168,194.30.187.168,"(4, ['213.151.198.26'], 6)",[9.605666666666666],True,x,x
192.168.1.254,194.30.187.168,194.30.187.168,"(1, ['213.81.232.193'], 4)",[2.767333333333333],True,x,x
192.168.30.110,194.30.187.168,194.30.187.168,"(1, ['92.60.50.253'], 8)",[1.5099999999999998],False,x,x
192.168.2.127,194.30.187.168,194.30.187.168,"(3, ['213.151.193.65'], 5)",[4.769333333333333],True,x,x
212.5.219.226,194.30.187.168,194.30.187.168,"(0, ['212.5.219.225'], 3)",[1.404],True,x,x
10.1.0.12,194.30.187.168,194.30.187.168,"(2, ['213.81.232.250'], 5)",[3.5],True,x,x
192.168.2.27,194.30.187.168,194.30.187.168,"(2, ['213.81.232.198'], 5)",[4.201666666666667],True,x,x
192.168.5.253,194.30.187.168,194.30.187.168,"(3, ['62.168.99.65'], 10)",[5.808333333333333],False,x,x
10.240.0.230,194.30.187.168,194.30.187.168,"(5, ['88.212.0.58'], 7)",[8.53],True,x,x
91.221.4.240,194.30.187.168,194.30.187.168,"(3, ['185.171.141.61'], 10)",[5.122333333333333],False,x,x
